x,y,z,theta_0,theta_1
0.885599,-0.0272936,-0.463648,0,3.18626
0.780335,-0.259285,-0.569077,0,3.12068
-0.694946,0.178222,0.696626,0,3.30464
0.0475577,-0.978554,0.200428,0,5.41067
-0.709523,0.0114908,-0.704589,0,1.2381
-0.947054,-0.176422,-0.26826,0,1.34308
0.155172,-0.67845,0.718072,0,4.16414
-0.857908,0.509873,-0.0634328,0,2.33412
-0.0920107,-0.94078,-0.326294,0,6.01381
-0.229173,-0.919944,-0.318092,0,6.00103
0.692292,-0.314891,0.649288,0,1.4664
0.74725,0.658227,-0.0914019,0,6.08511
-0.0581919,-0.438783,0.896707,0,4.03026
0.832081,-0.408125,-0.3756,0,2.92126
0.84104,-0.171824,0.512961,0,1.43546
0.899645,0.0833668,-0.428589,0,3.21705
0.552994,-0.638159,0.535678,0,1.7866
0.261136,-0.030999,-0.964804,0,3.62905
0.648064,-0.178559,-0.740358,0,3.25435
0.520658,0.705044,-0.481486,0,4.76645
0.662485,-0.11507,0.740184,0,1.21322
0.720085,-0.596197,-0.355003,0,2.75827
0.438989,-0.897888,-0.0329489,0,6.08179
-0.613458,0.0775451,-0.785911,0,1.30788
0.109541,0.984996,0.133357,0,5.85064
0.188671,-0.558141,-0.808011,0,1.64535
0.618334,-0.322284,-0.716795,0,3.17487
-0.0807929,0.79444,0.601945,0,0.0675563
-0.833307,-0.20802,-0.512179,0,1.01993
-0.448899,0.16881,-0.877493,0,1.60269
0.888512,-0.411186,0.20365,0,2.12593
0.684428,0.178074,-0.707,0,3.77768
-0.0504673,-0.444479,-0.894367,0,0.741882
-0.564753,-0.493958,0.661105,0,4.27103
0.963127,0.173494,-0.205634,0,2.66124
-0.131159,-0.669708,0.73095,0,4.29148
0.868406,0.0875514,0.488063,0,1.26144
0.0400215,-0.800443,-0.598072,0,0.129856
-0.555412,-0.0446205,-0.830377,0,1.13603
0.680099,-0.324718,-0.657286,0,3.14844
0.914978,0.403357,-0.0108397,0,0.893914
0.520366,-0.805157,-0.284504,0,2.04234
0.683072,0.304243,0.663964,0,0.877839
-0.557434,0.827939,-0.0615183,0,2.47223
-0.900179,0.42153,0.109499,0,2.44787
0.952269,-0.206195,-0.225096,0,2.75474
-0.79536,-0.32788,0.509801,0,4.07994
-0.0515415,0.924419,0.37788,0,6.1551
