x,y,z,form0_x,form0_y,form0_z
0.692292,-0.314891,0.649288,-0.264449,-0.264476,0.258839
0.74725,0.658227,-0.0914019,0.161359,0.00462036,0.317762
-0.0581919,-0.438783,0.896707,-0.0904641,0.136229,0.152828
0.832081,-0.408125,-0.3756,-0.058628,-0.0437958,-0.276742
0.84104,-0.171824,0.512961,-0.0677286,0.226699,0.403408
0.899645,0.0833668,-0.428589,-0.0877504,-0.17091,-0.379993
0.552994,-0.638159,0.535678,0.406492,0.233181,-0.00167314
0.261136,-0.030999,-0.964804,0.220326,0.0760475,-0.0235732
0.648064,-0.178559,-0.740358,0.0714057,-0.0912495,-0.0114205
0.520658,0.705044,-0.481486,-0.029496,-0.0454318,-0.29448
0.662485,-0.11507,0.740184,-0.243416,0.259014,0.392834
0.720085,-0.596197,-0.355003,0.0917478,-0.140335,0.185874
0.438989,-0.897888,-0.0329489,0.0490945,-0.0554424,-0.0133924
-0.613458,0.0775451,-0.785911,-0.0694811,-0.0879069,-0.0464279
0.109541,0.984996,0.133357,-0.122487,0.0501569,0.318731
0.188671,-0.558141,-0.808011,0.623277,0.178754,-0.0611205
0.618334,-0.322284,-0.716795,0.181193,0.347457,-0.085176
-0.0807929,0.79444,0.601945,0.279008,0.0829752,0.11122
-0.833307,-0.20802,-0.512179,0.150533,-0.0433717,-0.340403
-0.448899,0.16881,-0.877493,-0.168072,0.565423,0.0969915
0.888512,-0.411186,0.20365,-0.04655,-0.204629,0.259008
0.684428,0.178074,-0.707,0.0133391,0.154719,-0.0546831
-0.0504673,-0.444479,-0.894367,0.0311996,-0.171554,-0.00342627
-0.564753,-0.493958,0.661105,-0.546166,0.372608,-0.0721435
0.963127,0.173494,-0.205634,0.259559,-0.469814,0.261548
-0.131159,-0.669708,0.73095,-0.310766,-0.085954,-0.0480858
0.868406,0.0875514,0.488063,0.0200774,-0.186616,0.237287
0.0400215,-0.800443,-0.598072,0.232896,-0.122896,0.0763808
-0.555412,-0.0446205,-0.830377,-0.0747743,-0.403866,-0.0211044
0.680099,-0.324718,-0.657286,-0.0922865,0.0966566,-0.226355
0.914978,0.403357,-0.0108397,0.0674166,0.0808699,0.433774
0.520366,-0.805157,-0.284504,-0.307665,-0.356646,0.152396
0.683072,0.304243,0.663964,0.0575019,-0.109664,0.159688
-0.557434,0.827939,-0.0615183,-0.112729,0.0044731,-0.235986
-0.900179,0.42153,0.109499,0.00844197,0.242349,-0.164724
0.952269,-0.206195,-0.225096,0.0883698,-0.313106,0.247376
-0.79536,-0.32788,0.509801,-0.188285,-0.255242,-0.261304
-0.0515415,0.924419,0.37788,0.456022,0.238724,-0.123483
0.0485368,0.927145,0.371545,-0.194803,0.0958999,0.112052
0.640559,-0.542799,0.543189,0.0691168,-0.0587642,-0.0216129
0.147899,0.967989,-0.202788,-0.316943,0.0594949,-0.359027
0.459329,0.456766,-0.761828,-0.064242,-0.0527637,-0.206859
-0.184088,0.749523,0.635867,0.705884,0.411074,-0.108341
-0.815195,-0.489902,-0.308955,-0.202102,0.197543,-0.110839
-0.870705,-0.307864,0.383525,0.0736467,-0.373713,0.0762374
0.0782526,-0.198698,0.976932,0.187374,-0.067263,0.0666428
-0.849706,-0.339365,0.403523,-0.102643,-0.119485,-0.132324
-0.139077,0.564875,0.813371,-0.058078,0.0316944,0.10391
-0.196046,0.119467,-0.97329,0.0675954,0.223194,-0.0429791
0.406039,-0.890002,0.207435,0.185316,-0.11981,-0.389284
-0.415182,-0.423117,-0.805355,-0.180258,-0.109227,0.0561494
0.645125,-0.169631,0.745009,0.0142915,0.594796,0.280848
-0.266421,0.285846,0.920496,0.197229,-0.454561,0.27941
-0.34358,-0.117903,-0.931693,-0.174873,-0.577037,0.0416576
-0.564748,-0.378247,-0.733477,-0.0424405,0.215407,-0.199551
0.432202,-0.608508,0.665522,-0.347568,-0.193544,0.190312
0.566301,0.734573,0.373773,0.186315,-0.105675,0.182509
