x,y,z,form0_x,form0_y,form0_z
2.39414,1.39597,0.636361,-0.419454,0.476918,0.124447
0.850286,-1.48758,0.958062,0.75775,0.309759,0.0463779
0.231538,-0.975262,-0.0688123,1.46228,0.342575,0.128199
0.0667547,0.997928,0.0178121,-1.39857,0.120013,-0.126694
1.45576,-1.42885,0.999207,0.573973,0.309522,-0.0273334
2.29127,0.883416,-0.890145,-0.158827,0.631371,0.0272982
-0.559627,0.931296,0.406851,-1.37625,-0.901534,-0.122023
1.5037,2.07733,-0.825466,-0.317786,0.386743,0.0802248
-1.81093,0.584141,0.995266,-0.401199,-0.953146,0.0222331
0.84203,-2.81078,-0.356767,0.599774,0.207641,-0.0997976
0.335234,2.74261,0.646372,-0.403382,-0.00169844,0.0700711
2.00798,0.680745,-0.992745,-0.0775391,0.741734,0.0152846
-2.46985,1.6887,0.126495,-0.285482,-0.397051,0.0773148
0.663067,1.97765,0.996309,-0.714624,-0.100735,0.0248132
2.26194,1.45053,-0.726584,-0.195173,0.492827,0.124465
-1.23564,-0.682665,0.808629,0.343473,-0.80813,0.0613143
-0.876943,2.77614,-0.411632,-0.554895,-0.0606723,0.208082
-1.36666,-2.56148,-0.429091,0.516111,-0.289477,0.0338954
0.720567,2.19492,-0.950682,-0.638201,0.275987,0.00200551
1.12674,-0.428892,0.607404,0.452164,1.20505,-0.010925
-1.73996,1.97084,-0.777402,-0.397818,-0.251864,0.0409496
0.816701,0.637579,0.26627,-0.644718,0.859416,0.153294
-1.86057,-1.95919,0.712295,0.437617,-0.430465,-0.00862304
2.33032,-1.14789,-0.801723,0.11285,0.588755,-0.095343
-2.23758,0.879791,-0.914616,-0.123333,-0.455062,0.000808996
2.55116,-0.748304,0.752456,0.162571,0.533353,0.000909897
-2.66848,0.00174684,-0.743734,-0.0333738,-0.679711,0.0426328
-0.897979,0.45592,-0.118867,-0.625007,-1.17093,-0.166346
-1.42679,-1.34345,-0.999189,0.443314,-0.434522,-0.0239017
1.88515,-0.058099,0.993486,-0.0503109,0.694986,0.00838118
2.1023,-0.698538,0.976545,0.271014,0.487251,-0.0271856
-2.49833,0.640706,-0.815202,-0.296416,-0.584821,0.128133
0.0578519,-1.19037,-0.588871,1.10527,0.203969,0.1904
-2.59905,0.0420918,0.800459,0.0497824,-0.725627,0.0712187
-1.31203,-0.244411,0.746485,0.29163,-1.20813,-0.069718
0.586992,-2.56647,-0.774361,0.590094,0.150593,-0.0123386
-0.876652,0.521013,0.197964,-0.633491,-1.09286,-0.191322
-0.144155,-1.47394,0.854758,0.998723,-0.156229,0.051263
-0.352711,-1.41585,0.841101,1.32039,-0.388671,0.00343147
2.23196,-1.01521,-0.892019,0.0783421,0.763895,-0.0844913
0.781115,0.688058,0.283218,-0.76441,0.828928,0.0617551
-0.387549,-2.92222,-0.318839,0.396679,-0.0314039,0.0182648
