x,y,z,theta_0,theta_1
-1.6328,1.49863,0.97633,2.7385,5.02229
-1.21377,2.3621,0.755019,2.17596,3.46181
2.27396,-0.085384,-0.961282,0.336742,2.17336
0.502284,-2.53009,0.814993,4.99284,4.73677
-1.45839,0.132913,0.844496,3.77192,5.50903
-2.64937,1.40003,0.0831459,2.61532,3.1809
2.08938,-2.02402,-0.416838,5.62391,2.8741
1.34072,0.813678,0.902024,1.23253,5.43377
-0.658927,-2.46444,-0.8345,4.46271,2.38793
0.723692,-2.88206,-0.236897,4.97605,2.44778
0.565467,-1.7707,-0.989981,5.46,1.72339
-0.847882,1.73663,0.997723,2.58955,5.44858
0.289218,-0.958535,0.0493314,0.0278076,0.0701942
0.340246,2.1773,-0.979029,1.65986,2.32703
-1.09141,1.28101,-0.948394,2.76113,1.28452
-2.14367,1.22365,-0.883555,2.73974,2.37684
-1.00399,-0.267285,-0.276421,4.51672,0.323689
1.10267,0.943131,-0.835816,1.29497,1.75685
-1.12345,0.743563,0.757558,3.30606,5.71308
2.35989,0.00445853,0.932993,0.237756,4.79845
-0.0591106,-1.6735,-0.945556,5.31858,1.29546
1.79174,-2.40597,0.0181093,5.39572,3.89158
1.42093,1.69432,-0.977426,1.21313,2.37734
-0.858632,-2.87342,0.045432,4.41648,3.15218
0.543256,-1.13401,-0.669757,0.0453548,0.933772
1.16393,-0.133473,-0.560075,0.966386,0.856191
1.54962,-2.31789,0.615448,5.37131,4.53608
-1.03341,0.533877,-0.547458,3.55263,0.411036
2.03262,-0.26082,-0.998785,0.317091,2.09656
1.01179,-0.166877,-0.224222,1.06839,0.282126
-1.53311,-0.0354259,-0.88453,3.85112,0.873311
0.0377472,-1.74283,-0.966474,5.29808,1.41397
1.94839,-1.17156,0.961873,5.91938,4.78107
-2.86311,0.432343,-0.444917,3.00828,2.94954
1.00423,-1.15674,0.883644,6.05397,5.41823
-0.340119,-1.08298,-0.502005,5.65688,0.595952
-0.762193,2.69125,0.603846,1.94091,3.3653
0.332027,-2.98131,-0.022586,4.86043,2.81819
-1.2944,-0.615913,-0.824035,4.25791,0.954067
0.854981,0.57202,0.237807,1.71778,6.06103
-0.842022,0.684367,-0.403595,3.51453,0.278181
2.67069,1.33428,0.17,0.706863,3.48631
-2.03921,0.30767,0.998058,3.47036,5.21389
