x,y,z,wedge_x,wedge_y,wedge_z
2.55116,-0.748304,0.752456,-0.307059,0.256141,-0.403004
-2.66848,0.00174684,-0.743734,0.96312,0.126818,0.486582
-0.897979,0.45592,-0.118867,-1.46642,0.959393,0.237508
-1.42679,-1.34345,-0.999189,0.270461,0.125915,1.25772
1.88515,-0.058099,0.993486,0.290154,0.00856738,-1.38011
2.1023,-0.698538,0.976545,0.0152053,0.033914,-0.614479
-2.49833,0.640706,-0.815202,0.714598,0.0987849,0.589019
0.0578519,-1.19037,-0.588871,0.0694662,-1.32821,1.19689
-2.59905,0.0420918,0.800459,0.723026,0.0495173,-0.524521
-1.31203,-0.244411,0.746485,-0.82514,-0.138807,-0.894777
0.586992,-2.56647,-0.774361,0.187702,0.527975,0.769722
-0.876652,0.521013,0.197964,-1.4295,1.10101,-0.313283
-0.144155,-1.47394,0.854758,0.0491857,-0.684075,-1.59175
-0.352711,-1.41585,0.841101,-0.102075,-0.625248,-1.51816
2.23196,-1.01521,-0.892019,-0.852223,0.0158947,1.23637
0.781115,0.688058,0.283218,1.43213,1.46406,-0.329618
-0.387549,-2.92222,-0.318839,0.123867,0.237398,0.536305
1.45362,-0.712982,0.924599,0.567775,-0.413891,-0.88257
1.99941,-0.408477,-0.999171,-0.699416,0.0323682,1.37095
1.76995,0.164015,0.97494,0.335095,0.0594839,-1.46065
1.38301,-1.596,-0.993725,-0.292041,0.281843,1.30597
2.97302,-0.352921,0.110346,-0.729791,-0.110322,-0.0259794
2.5889,-0.713311,0.728198,-0.320105,0.238925,-0.404711
1.15357,1.56209,0.998309,-0.289054,0.10957,-0.868808
2.64536,-0.459483,-0.728573,-0.979401,-0.072865,0.945606
1.20165,-0.994913,0.898032,0.446353,-0.585811,-1.06139
0.441578,-0.903185,0.103327,0.989422,-1.98214,-0.170091
-2.76025,0.348914,0.623007,0.831232,0.056431,-0.430336
0.120087,1.07983,-0.406803,0.156449,1.63176,0.957598
0.904194,-2.67486,0.567241,-0.224812,0.489398,-0.423826
2.3319,-1.21542,0.776892,-0.318564,0.393087,-0.29988
-0.234205,2.30294,-0.949151,0.129952,-0.295752,1.49137
-1.97757,-0.493664,0.999268,0.363233,0.146601,-0.786747
-2.73954,1.03022,0.375437,0.832645,0.0788289,-0.501628
1.08702,-0.50305,-0.597023,0.962857,-0.573033,1.13745
2.52149,0.656039,0.795897,-0.447655,-0.141102,-0.906164
-0.332298,-2.92663,0.3258,0.115032,0.136486,-0.32566
-1.87033,-1.63587,-0.87463,0.803883,0.269161,1.01001
1.18248,0.213008,0.602013,1.7695,0.327705,-0.920624
-0.511919,-2.61389,-0.748134,0.168256,0.331015,1.29877
1.95261,0.196859,-0.999297,-0.61512,0.151825,1.40677
0.115017,-2.30038,0.952911,0.167334,0.281024,-0.79446
-2.85216,-0.229135,0.508021,0.812613,0.064033,-0.242663
2.23282,-1.06607,0.880383,-0.260024,0.354664,-0.368586
0.915563,0.403615,0.0340472,1.81903,0.95831,0.142045
0.745554,-1.15359,0.779455,0.403341,-0.841965,-1.26612
2.27698,1.01418,-0.870239,-0.743919,0.125294,1.05506
-0.56889,0.844953,0.192065,-1.16676,1.62187,-0.476408
-0.958683,0.448926,-0.337258,-1.33623,0.768809,0.647957
1.21171,-0.262371,0.649676,1.50837,-0.315097,-0.907344
-1.87751,-0.773985,-0.999526,0.804401,0.109917,1.28241
-0.0905007,1.62317,-0.927304,0.100667,0.562784,1.58213
0.0840289,1.60511,-0.919671,0.11195,0.586856,1.58763
1.62904,-1.38043,-0.990809,-0.488177,0.212692,1.40351
0.180664,1.18244,0.594848,-0.126426,0.978136,-0.6637
1.93784,1.92703,0.680349,-0.505797,-0.373382,-0.442008
-0.575781,2.34432,-0.910279,0.142523,-0.314149,1.36077
-1.23015,-0.739277,0.825231,-0.460021,-0.0497422,-1.02098
-1.54826,-0.547435,-0.933796,0.0878716,-0.0526356,1.4083
1.09834,-2.78889,-0.0724074,-0.0576871,0.500866,0.1185
-1.58016,-0.631103,-0.954419,0.212877,-0.0308802,1.40551
-0.677281,2.75084,-0.553292,0.136478,-0.640199,0.590928
-2.55881,1.55929,0.0838132,0.715593,0.00396617,-0.338757
0.500128,-1.09624,-0.60652,0.77695,-1.29019,1.16427
-1.97423,-2.01196,0.574093,0.348622,0.325905,-0.377775
2.60731,-0.685573,-0.718106,-0.940258,-0.0442486,1.00217
-2.02429,2.17188,-0.247182,0.364389,-0.424517,0.105974
-2.81588,-0.966296,0.21295,0.662259,0.0977999,-0.0219864
-2.21796,-1.4855,0.742842,0.359093,0.352956,-0.556713
1.44586,-2.03566,-0.867818,-0.135536,0.496279,0.952203
0.985285,1.27806,-0.922397,-0.14076,0.282116,1.30973
-2.49161,1.65895,-0.114993,0.635994,-0.0691223,-0.180445
1.7229,-1.09401,-0.999164,-0.519211,0.10698,1.41157
1.12749,0.312768,-0.557867,1.23693,0.345043,1.04041
0.454444,-0.9246,-0.244082,0.933569,-1.70768,0.606036
-2.58425,1.51991,0.0619587,0.725954,0.0185701,-0.342722
1.06271,-1.93871,-0.977514,-0.00567728,0.452145,1.10183
1.2516,0.0783852,0.666003,1.66645,0.169567,-0.980491
-1.84153,2.08758,0.621081,0.46187,-0.576585,-0.602687
0.918267,0.494577,-0.290043,1.60363,1.03575,0.668337
-0.755715,-1.07692,0.729129,-0.476209,-0.489799,-1.33833
-0.18111,1.19957,-0.617158,-0.112769,1.56189,1.20933
-0.877774,-2.86298,0.104563,0.155917,0.167702,0.0484197
2.35436,-0.867706,0.860666,-0.255713,0.290966,-0.404368
0.720763,0.737412,-0.247661,1.42688,1.51255,0.597881
0.811544,-0.923105,-0.636976,0.860284,-1.07872,1.1935
2.67155,1.04735,0.493898,-0.663281,-0.238478,-0.45871
-0.98506,0.916099,-0.755808,-0.53937,0.58879,1.14911
-2.29879,1.08572,-0.840192,0.468423,-0.00760231,0.758011
-1.76659,0.123971,0.973411,0.0896276,-0.0539733,-1.0124
0.997954,-0.148675,-0.133624,1.94597,-0.38106,0.498678
0.455007,-2.79421,-0.556253,0.215034,0.53799,0.607594
-0.6176,1.5932,-0.956638,0.0282955,0.316203,1.44414
-0.282021,2.25098,0.963257,0.09169,-0.659783,-0.560474
1.94281,-2.25687,-0.208981,-0.472894,0.343104,-0.0277068
1.06748,-0.986057,0.83727,0.479423,-0.631991,-1.08066
-2.44398,-0.164657,-0.89327,0.924787,0.123422,0.703574
-0.583086,0.866205,0.293935,-1.15247,1.61464,-0.579143
2.24613,-0.0717551,-0.968945,-0.81891,0.0821666,1.32297
-1.15907,2.63547,-0.476665,0.17322,-0.665723,0.334504
1.15661,2.57075,-0.573857,-0.345518,-0.728559,0.417759
1.70414,-1.59832,-0.941724,-0.471407,0.262782,1.28094
0.594502,-1.43946,0.896718,0.180823,-0.582141,-1.3885
-1.40751,-2.48171,-0.521804,0.280812,0.361614,0.627307
2.48342,-0.664088,0.821172,-0.27827,0.228777,-0.464216
1.72891,-0.871166,0.997949,0.283384,-0.2284,-0.678413
-0.0153388,-1.39375,-0.795338,-0.043933,-0.86587,1.41502
1.2743,-1.52662,-0.999935,-0.237093,0.230358,1.33874
0.0528907,2.94993,0.311026,-0.0459633,-0.991356,-0.21249
1.18808,1.45926,0.992984,-0.260575,0.16895,-0.942178
-0.635414,-1.15688,0.733113,-0.43471,-0.563082,-1.37389
-0.567454,-2.51037,-0.819064,0.172306,0.337834,1.38075
1.49365,2.60165,0.0120468,-0.438351,-0.886306,0.0197707
-2.19505,1.69038,-0.637445,0.379357,-0.199719,0.569911
1.26137,-0.797651,0.861603,0.632205,-0.582972,-0.992732
-1.16411,-0.472799,-0.668696,-0.800714,-0.343902,1.19967
-2.57307,-1.37972,-0.392756,0.833201,0.208946,0.494544
1.0062,2.74759,0.377444,-0.384989,-0.987633,-0.119365
-1.02628,-0.169311,-0.28052,-1.50108,-0.312555,0.746154
-2.15016,-0.318907,0.984803,0.475603,0.100589,-0.721985
1.44518,0.903642,-0.955325,-0.32391,0.280007,1.39924
2.39782,-0.273224,-0.910578,-0.885133,0.0224603,1.20238
-1.82335,-0.877613,0.999722,0.228343,0.224176,-0.880932
2.63478,0.106155,-0.770935,-0.935958,0.0160081,0.995543
0.346124,-2.41576,0.897788,0.094631,0.398414,-0.611909
