x,y,z,form0_x,form0_y,form0_z,form1_x,form1_y,form1_z,form2_x,form2_y,form2_z
-0.457304,-0.481543,-0.747656,0.912901,0.193856,1.31399,-5.68384,-8.58696,8.09479,-9.92335,6.88502,1.71616
0.637174,-0.313865,0.703917,-0.561122,1.12042,-1.59696,3.56067,6.22205,-0.385085,5.51479,-7.52117,-9.34776
-0.720847,0.283429,0.632493,1.23063,0.560133,-0.741296,3.98009,7.73661,1.01277,8.20118,-0.542011,9.59562
0.656974,-0.192703,-0.728869,-0.744312,-0.848107,0.613489,-4.39769,-8.84396,-1.73361,-8.31879,1.48548,-7.74548
-0.680171,0.000445255,0.733053,1.64482,1.53856,-0.805717,4.34532,9.4015,3.75612,7.80411,-1.46611,6.63768
-0.891016,0.452384,0.0379261,0.996633,-0.310287,0.0451634,0.654499,1.53984,0.118298,2.60474,3.83832,12.0462
-0.635807,-0.598669,0.487182,0.939435,1.15911,-0.417582,1.63092,6.01131,10.9,1.70087,0.13938,2.57372
0.885599,-0.0272936,-0.463648,-2.03207,-1.81088,-0.165033,-2.64788,-6.24959,-5.45461,-4.91547,-0.800861,-9.56031
0.780335,-0.259285,-0.569077,-1.11535,-0.217661,0.087798,-3.02508,-6.43153,-1.35814,-6.38352,0.587963,-8.63911
-0.694946,0.178222,0.696626,1.42538,1.11116,-0.790041,4.24569,8.63948,1.91494,8.32038,-1.07276,8.39437
0.0475577,-0.978554,0.200428,-0.219312,1.6603,-0.327599,0.661357,2.02759,10.7838,-2.33888,-1.0813,-6.35544
-0.709523,0.0114908,-0.704589,0.635507,-0.8417,1.1776,-4.52599,-7.23995,4.39845,-6.73799,6.85878,6.99113
-0.947054,-0.176422,-0.26826,0.657971,-0.702725,-0.117929,-1.81846,-1.50136,7.49563,-2.97327,4.99242,8.00996
0.155172,-0.67845,0.718072,0.179599,2.10403,0.334742,3.11355,7.30225,6.15312,4.14474,-5.32263,-5.74482
